fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"462",2022/04/23 23:24:00,2022/04/23 23:27:00,75,2.43,0,0,1000,"This tornado developed northeast of Polk City and immediately encountered a farmstead. It did some damage to the shingles and facia along with minor tree damage, all rated as EF0 damage. The tornado continued to the northeast across a mixture of farmland and tree rows producing mostly minor tree damage before lifting.",0,80,NWS Storm Survey,IA,,,621399,"1033747",Tornado,QLCS
"463",2022/04/23 23:55:00,2022/04/23 23:57:00,50,0.28,0,0,0,"We received a video of a tornado tracking for less than one-half mile across wet and open fields. The tornado formed south of MN Hwy 102, about 8 miles southeast of Crookston, MN. The tornado lifted after less than one minute; however, the funnel cloud remained visible.",0,,Public,MN,,,621400,"1027336",Tornado,QLCS
"464",2022/04/24 00:01:00,2022/04/24 00:10:00,30,3.75,0,0,10000,"A tornado touched down northwest of Tuttle, north of State Highway 37 and west of County Road 2890. The tornado moved northeast and then east causing roof damage to an outbuilding and tree damage near and south of Silver City Ridge Road before dissipating east of Richland Road.",0,75,NWS Storm Survey,OK,,,621401,"1024991",Tornado,Supercell
"465",2022/04/24 00:15:00,2022/04/24 00:16:00,50,0.3,0,0,0,A tornado was observed from the weather observer at Will Rogers World Airport southwest from the airport. This tornado was estimated to be in an inaccessible area near the Canadian River to the south-southwest of Mustang based on a brief Tornado Vortex Signature from the Will Rogers TDWR radar.,,,Official NWS Observation,OK,,,621402,"1024998",Tornado,Supercell
"466",2022/04/24 01:20:00,2022/04/24 01:22:00,30,0.8,0,0,2000,A weak tornado developed just west of Peebly Road north of Reno Avenue and moved northeast. Tree damage was observed along Peebly Road and just west of the Kickapoo Turnpike. This tornado was within a much broader area of wind damage.,0,75,NWS Storm Survey,OK,,,621403,"1025005",Tornado,Supercell
"467",2022/04/24 01:25:00,2022/04/24 01:27:00,20,0.6,0,0,1000,A weak tornado touched down about 4 miles northwest of Harrah and moved south-southeast near Peebly Road between NE 63rd and NE 50th Streets. Some light tree damages was observed. This was embedded within a much larger area of damaging thunderstorm winds.,0,75,NWS Storm Survey,OK,,,621404,"1025010",Tornado,Supercell
"468",2022/04/24 06:57:00,2022/04/24 07:00:00,50,0.3,0,0,30000,"A brief tornado occurred just southwest of Pauls Valley within a much broader area of wind damage. Although much of the damage in the Pauls Valley area indicated straight-line winds blowing from west to east, debris indicated a small area of rotational winds associated with a tornado near the intersection of County Road 3220, and Royal Oaks Road which damaged a salon and pushed farm implements to the west.",0,85,NWS Storm Survey,OK,,,621405,"1025022",Tornado,Supercell
"469",2022/04/24 22:49:00,2022/04/24 22:50:00,50,0.89,0,0,,A tornado touched down 3 miles east-northeast of Sharpsburg at 5:49 PM CDT. The tornado demolished a 60 by 120-foot shed along East 1900 North Road just west of North 1300 East Road. Damage from the shed was thrown about a mile to the east-northeast. The tornado quickly dissipated 4 miles east-northeast of Sharpsburg at 5:50 PM CDT.,1,110,NWS Storm Survey,IL,,,621406,"1020525",Tornado,Supercell
"470",2022/04/25 18:22:00,2022/04/25 18:23:00,75,0.08,0,0,20000,A very brief EF-0 tornado with estimated peak winds of 80 mph impacted Eaton Township. The tornado damaged several buildings and vehicles as it moved northeastward through an industrial park along East Commerce Way. The damage included pieces of a roof that were peeled off an industrial building.,0,80,NWS Storm Survey,OH,,,621407,"1013044",Tornado,Supercell
"471",2022/04/25 22:42:00,2022/04/25 22:45:00,75,0.75,0,0,25000,"An NWS storm survey team found that a tornado initially touched down just north of the Alexander Fire Department and Recreational Hall with damage to the roof of a pavilion. A nearby building had its metal roof peeled back and a trailer, with some supporting anchor braces, was rolled over on its side. The tornado continued east-northeast snapping numerous trees in a wooded area just to the west of NYS Route 98/Alexander Road. The tornado then removed shingles and shattered windows to residences along Alexander Road then produced tree damage in a convergent pattern to the east just before crossing Tonawanda Creek. Finally, the tornado crossed a field before snapping two very large trees at the Alexander Cemetery and an adjacent commercial building. This is where the tornado damage ended.",0,85,NWS Storm Survey,NY,,,621408,"1023263",Tornado,QLCS
"472",2022/04/26 17:04:00,2022/04/26 17:15:00,75,5.98,0,0,400000,"The National Weather Service conducted a field survey of damage that occurred with storms that passed through Fishersville in Augusta County, Virginia and the City of Waynesboro on Tuesday afternoon April 26, 2022. The NWS storm survey team determined that a EF-1 tornado occurred with maximum wind speeds estimated at 90 mph and a maximum path width of 75 yards along a 6.0 mile path. The first damage noted was along Barterbrook Road one-half mile north of Tinkling Spring Road where there were broken tree branches and both hardwood and softwood trees were snapped. As the tornado progressed east, additional trees were snapped and uprooted along with significant damage to a farm on the 1100 block of Tinkling Spring Road. At this farm, significant roof and structural damage was observed to a barn. A farmhouse lost portions of its metal roof which became dislodged and were wrapped around branches of a tree. Lumber from the barn was lofted approximately 125 yards and embedded into the ground in different directions. Trees on the farm were noted to be snapped in multiple directions. The tornado continued eastward towards the intersection of Tinkling Spring Road and Ramsey Road where more hardwood tree branches and entire softwood trees were snapped. Some screens were also damaged on homes and some siding was dislodged at this location. The tornado crossed Tinkling Spring Road where additional hardwood trees were uprooted and softwood trees were snapped. Siding and roof damage occurred to a mobile home and two 75-yard sections of fence were blown inward at a plumbing supply facility. A trash dumpster and grease dumpster were flipped sideways, and minor structural damage was observed to an office complex near the intersection of Tinkling Spring Road and Ivy Ridge Road. Sporadic damage continued near Ivy Ridge road. As the tornado moved east through Ivy Ridge, the tornado produced scattered tree and structural damage throughout the area. The tornado then paralleled Ladd Road and crossed Interstate 64 near Hickory Hill Road. The tornado continued moving east into a wooded area between Hickory Hill Road and Lew Dewitt Boulevard. The survey team noted scattered uprooted and snapped trees.
After this point, the tornado moved into the City of Waynesboro.
It was noted that significant leaf debris occurred on all sides of multiple structures along the entire path of the tornado. While many trees were snapped and/or uprooted along the storm motion (generally west to east), there were a number of tree snaps or uproots in multiple directions along the tornado's path.",1,90,NWS Storm Survey,VA,,,621409,"1011048, 1011052",Tornado,Supercell
"473",2022/04/28 23:29:00,2022/04/28 23:30:00,20,0.2624,0,0,0,"As captured by storm chaser video, this tornado briefly touched down in open country approximately six miles southwest of Alma. No damage was reported.",,,Storm Chaser,NE,,,621410,"1013401",Tornado,Supercell
"474",2022/04/29 21:00:00,2022/04/29 21:01:00,25,0.1,0,0,25000,Broadcast media relayed video of brief tornado near Cypress Lake in Ft. Myers. Minor roof damage reported to one house with a fence partially blown down in the backyard of another nearby house.,0,70,Broadcast Media,FL,,,621411,"1012605",Tornado,Multicell
"475",2022/04/29 21:52:00,2022/04/29 21:57:00,20,1.26,0,0,0,This tornado briefly touched down several miles south of Stamford. Location and time was approximated from reports and radar. No damage was reported.,,,Storm Chaser,NE,,,621412,"1015432",Tornado,Supercell
"476",2022/04/29 22:12:00,2022/04/29 22:12:00,20,0.01,0,0,0,This tornado briefly touched down a few miles southwest of Orleans. Location and time was approximated from social media photos and radar. No damage was reported.,,,Public,NE,,,621413,"1015431",Tornado,Supercell
